,fideid,name,country,sex,title,rating,birthday,image
0,1503014,Magnus Carlsen,NOR,M,GM,2862,1990,True
1,2020009,Fabiano Caruana,USA,M,GM,2823,1992,True
2,4100018,Garry Kasparov,RUS,M,GM,2812,1963,True
3,8603677,Liren Ding,CHN,M,GM,2791,1992,True
4,4168119,Ian Nepomniachtchi,RUS,M,GM,2789,1990,True
5,623539,Maxime Vachier-Lagrave,FRA,M,GM,2784,1990,True
6,13300474,Levon Aronian,ARM,M,GM,2781,1982,True
7,4126025,Alexander Grischuk,RUS,M,GM,2777,1983,True
8,5202213,Wesley So,USA,M,GM,2770,1993,True
9,13401319,Shakhriyar Mamedyarov,AZE,M,GM,2770,1985,True
10,13400924,Teimour Radjabov,AZE,M,GM,2765,1987,True
11,24116068,Anish Giri,NED,M,GM,2764,1994,True
12,8602883,Hao Wang,CHN,M,GM,2763,1989,True
13,738590,Richard Rapport,HUN,M,GM,2759,1996,True
14,3503240,Leinier Dominguez Perez,USA,M,GM,2758,1983,True
15,14109603,Sergey Karjakin,RUS,M,GM,2757,1990,True
16,4101588,Vladimir Kramnik,RUS,M,GM,2753,1975,True
17,5000017,Viswanathan Anand,IND,M,GM,2753,1969,True
18,12573981,Alireza Firouzja,FID,M,GM,2749,2003,True
19,1170546,Jan-Krzysztof Duda,POL,M,GM,2743,1998,True
20,2016192,Hikaru Nakamura,USA,M,GM,2736,1987,True
21,2900084,Veselin Topalov,BUL,M,GM,2735,1975,True
22,5007003,Pentala Harikrishna,IND,M,GM,2732,1986,True
23,8603405,Yi Wei,CHN,M,GM,2732,1999,True
24,5029465,Santosh Gujrathi Vidit,IND,M,GM,2726,1994,True
25,4158814,Dmitry Andreikin,RUS,M,GM,2725,1990,True
26,400041,Michael Adams,ENG,M,GM,2716,1971,True
27,4152956,Nikita Vitiugov,RUS,M,GM,2715,1987,True
28,4102142,Peter Svidler,RUS,M,GM,2714,1976,True
29,24126055,Daniil Dubov,RUS,M,GM,2710,1996,True
30,2205530,Francisco Vallejo Pons,ESP,M,GM,2710,1982,True
31,8603820,Yangyi Yu,CHN,M,GM,2709,1994,True
32,24101605,Vladislav Artemiev,RUS,M,GM,2709,1998,True
33,12401137,Quang Liem Le,VIE,M,GM,2709,1991,True
34,2047640,Jeffery Xiong,USA,M,GM,2709,2000,True
35,4147235,Evgeny Tomashevsky,RUS,M,GM,2706,1987,True
36,8601445,Xiangzhi Bu,CHN,M,GM,2705,1985,True
37,1118358,Radoslaw Wojtaszek,POL,M,GM,2705,1987,True
38,14109182,Yuriy Kryvoruchko,UKR,M,GM,2699,1986,True
39,309095,David Navara,CZE,M,GM,2697,1985,True
40,4135539,Kirill Alekseenko,RUS,M,GM,2696,1997,True
41,400173,Matthew D Sadler,ENG,M,GM,2694,1974,True
42,10601457,Bassem Amin,EGY,M,GM,2693,1988,True
43,14105730,Anton Korobov,UKR,M,GM,2692,1985,True
44,2004887,Sam Shankland,USA,M,GM,2691,1991,True
45,24107581,Alexandr Predke,RUS,M,GM,2690,1994,True
46,4168003,Maxim Matlakov,RUS,M,GM,2688,1991,True
47,14109530,Alexander Areshchenko,UKR,M,GM,2687,1986,True
48,702293,Zoltan Almasi,HUN,M,GM,2687,1976,True
49,24130737,Vladimir Fedoseev,RUS,M,GM,2687,1995,True
50,11600098,Igors Rausis,FID,M,IM,2685,1961,True
51,4122356,Dmitry Jakovenko,RUS,M,GM,2684,1983,True
52,8604436,Chao b Li,CHN,M,GM,2683,1989,True
53,13300881,Gabriel Sargissian,ARM,M,GM,2682,1983,True
54,9301348,A.R. Saleh Salem,UAE,M,GM,2682,1993,True
55,1610856,Markus Ragger,AUT,M,GM,2680,1988,True
56,2285525,David Anton Guijarro,ESP,M,GM,2679,1995,True
57,14118084,Illya Nyzhnyk,UKR,M,GM,2679,1996,True
58,14100010,Vasyl Ivanchuk,UKR,M,GM,2678,1969,True
59,605506,Etienne Bacrot,FRA,M,GM,2678,1983,True
60,24175439,Andrey Esipenko,RUS,M,GM,2677,2002,True
61,12539929,Parham Maghsoodloo,IRI,M,GM,2676,2000,True
62,2805677,Boris Gelfand,ISR,M,GM,2676,1968,True
63,700070,Judit Polgar,HUN,F,GM,2675,1976,True
64,702218,Zoltan Gyimesi,HUN,M,GM,2674,1977,True
65,404853,Luke J McShane,ENG,M,GM,2674,1984,True
66,2023970,Ray Robson,USA,M,GM,2673,1994,True
67,718572,Ferenc Berkes,HUN,M,GM,2673,1985,True
68,14102951,Pavel Eljanov,UKR,M,GM,2672,1983,True
69,1039784,Jorden Van Foreest,NED,M,GM,2671,1999,True
70,24651516,Matthias Bluebaum,GER,M,GM,2670,1997,True
71,409561,Gawain C B Jones,ENG,M,GM,2670,1987,True
72,8601429,Yue Wang,CHN,M,GM,2669,1987,True
73,24603295,Alexander Donchenko,GER,M,GM,2668,1998,True
74,13402960,Nijat Abasov,AZE,M,GM,2668,1995,True
75,8601160,Hua Ni,CHN,M,GM,2667,1983,True
76,13301004,Karen H. Grigoryan,ARM,M,GM,2666,1995,True
77,2000024,Gata Kamsky,USA,M,GM,2665,1974,True
78,13401378,Gadir Guseinov,AZE,M,GM,2665,1986,True
79,4120787,Vladimir Malakhov,RUS,M,GM,2665,1980,True
80,703303,Peter Leko,HUN,M,GM,2663,1979,True
81,1710400,Nils Grandelius,SWE,M,GM,2663,1993,True
82,13302485,Hrant Melkumyan,ARM,M,GM,2663,1989,True
83,4189302,Sanan Sjugirov,RUS,M,GM,2663,1993,True
84,2209390,Alexei Shirov,ESP,M,GM,2662,1972,True
85,14200244,Rustam Kasimdzhanov,UZB,M,GM,2662,1979,True
86,2040506,Samuel Sevian,USA,M,GM,2660,2000,True
87,618438,Vladislav Tkachiev,FRA,M,GM,2660,1973,True
88,5018471,B. Adhiban,IND,M,GM,2659,1992,True
89,4116992,Alexander Morozevich,RUS,M,GM,2659,1977,True
90,600016,Joel Lautier,FRA,M,GM,2658,1973,True
91,2905540,Ivan Cheparinov,BUL,M,GM,2658,1986,True
92,1020854,Robin Van Kampen,NED,M,GM,2658,1994,True
93,410608,David W L Howell,ENG,M,GM,2658,1990,True
94,8602980,Yifan Hou,CHN,F,GM,2658,1994,True
95,1207822,Constantin Lupulescu,ROU,M,GM,2656,1984,True
96,1202758,Liviu-Dieter Nisipeanu,GER,M,GM,2656,1976,True
97,13401653,Rauf Mamedov,AZE,M,GM,2654,1988,True
98,4162722,Ernesto Inarkiev,RUS,M,GM,2654,1985,True
99,24125890,Grigoriy Oparin,RUS,M,GM,2652,1997,True
100,3802272,Jorge Cori,PER,M,GM,2652,1995,True
101,14508150,Ivan Saric,CRO,M,GM,2652,1990,True
102,4173708,Aleksandr Rakhmanov,RUS,M,GM,2651,1989,True
103,14107090,Andrei Volokitin,UKR,M,GM,2650,1986,True
104,1126881,Dariusz Swiercz,USA,M,GM,2649,1994,True
105,14101025,Alexander Onischuk,USA,M,GM,2649,1975,True
106,24133795,Alexey Sarana,RUS,M,GM,2649,2000,True
107,4650891,Arkadij Naiditsch,AZE,M,GM,2649,1985,True
108,13504398,Vladislav Kovalev,BLR,M,GM,2648,1994,True
109,4118987,Evgeniy Najer,RUS,M,GM,2648,1977,True
110,316385,Viktor Laznicka,CZE,M,GM,2647,1988,True
