,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender
0, Robert Nelsen,https://www.crunchbase.com/person/robert-t-nelsen,767324994.2493634,6806685477691779243,True,Male
1, Steve Harr,https://www.crunchbase.com/person/steve-harr,700000000.0,3913211127155952344,True,Male
2, Noubar Afeyan,https://www.crunchbase.com/person/noubar-afeyan,700000000.0,6164919262500055633,True,Male
3, Hans Bishop,https://www.crunchbase.com/person/hans-bishop,700000000.0,6115182595565940268,True,Male
4, Mihir Shukla,https://www.crunchbase.com/person/mihir-shukla,561314425.3601651,9146463270169778525,True,Male
5, Neeti Mehta,https://www.crunchbase.com/person/neeti-mehta,561314425.3601651,1819496677112889008,True,Female
6, Ankur Kothari,https://www.crunchbase.com/person/ankur-kothari-2,561314425.3601651,7287431987738813010,True,Male
8, Joshua Kazam,https://www.crunchbase.com/person/joshua-a-kazam,527980042.43700665,930322174823135632,True,Male
9, John Stauffer,https://www.crunchbase.com/person/john-stauffer-0330,500000000.0,3996821499069523401,True,Male
10, Brian Cristol,https://www.crunchbase.com/person/brian-cristol,500000000.0,4731009238701896302,True,Male
11, Bill Driegert,https://www.crunchbase.com/person/bill-driegert,500000000.0,4178768808069125688,True,Male
12, Charlie Bergevin,https://www.crunchbase.com/person/charlie-bergevin,500000000.0,6824228202329111992,True,Male
13, David Chang,https://www.crunchbase.com/person/david-s-chang,422719354.3623607,6151438343366623123,True,Male
14, Brian Barlow,https://www.crunchbase.com/person/brian-barlow,400000000.0,1865747161050631548,True,Male
15, Jonathan Winer,https://www.crunchbase.com/person/jonathan-winer-8699,400000000.0,7027620775314419417,True,Male
16, Jesse Levinson,https://www.crunchbase.com/person/jesse-levinson-ph-d,319293237.52059704,1281544340321250670,True,Male
17, Tim Kentley Klay,https://www.crunchbase.com/person/kentley-klay,319293237.52059704,8235497622230964967,True,Male
18, Mario Medved,https://www.crunchbase.com/person/mario-medved,301948753.26748794,1597597258135095972,True,Male
19, David Hung,https://www.crunchbase.com/person/david-hung-2,274852533.16546595,2660330115527148240,True,Male
21, J. Keith Joung,https://www.crunchbase.com/person/j-keith-joung,236465115.16055423,8419921031177521725,True,Male
22, Shaival Shah,https://www.crunchbase.com/person/shaival-shah,229896334.97423652,7701374342476235508,True,Male
23, Jian Wei Gan,https://www.crunchbase.com/person/jian-wei-gan,229896334.97423652,2073796157022954211,True,Male
24, Patrick Baeuerle,https://www.crunchbase.com/person/patrick-baeuerle,224071003.23039696,7226728555220472547,True,Male
25, Tiancheng Lou,https://www.crunchbase.com/person/tiancheng-lou,220326300.98944703,4546684667248488534,True,Male
26, James Peng,https://www.crunchbase.com/person/james-peng-904d,220326300.98944703,9068032184722929801,True,Male
27, Mitchell Finer,https://www.crunchbase.com/person/mitchell-h-finer,211581144.44888687,996772896480882432,True,Male
28, Jason Kelly,https://www.crunchbase.com/person/jason-kelly-2,207276228.9735446,6228312414397481462,True,Male
29, David Brunel,https://www.crunchbase.com/person/david-brunel,202000000.0,2699594155280001461,True,Male
31, Kabir Barday,https://www.crunchbase.com/person/kabir-barday,200496548.71361145,5978048625373175825,True,Male
32, Sasha Orloff,https://www.crunchbase.com/person/sasha-orloff,200349744.31276023,5995935733546297424,True,Male
33, Shane Holdaway,https://www.crunchbase.com/person/shane-holdaway,200349744.31276023,6039247950277395213,True,Male
35, Sandra Horning,https://www.crunchbase.com/person/sandra-j-horning,200000000.0,7886697974124552546,True,Female
36, Robert Mumgaard,https://www.crunchbase.com/person/robert-mumgaard,199478150.87665883,1390633576244237286,True,Male
37, Martin Greenwald,https://www.crunchbase.com/person/martin-greenwald,199478150.87665883,3784954858930251150,True,Male
38, Charles Homcy,https://www.crunchbase.com/person/charles-homcy,194348862.2337564,1793911168214512379,True,Male
39, Ryan Carter,https://www.crunchbase.com/person/ryan-carter,192402546.6695481,2083662909880780135,True,Male
40, Lance Crosby,https://www.crunchbase.com/person/lance-crosby,192402546.6695481,3285985077659315403,True,Male
41, Jason Gulledge,https://www.crunchbase.com/person/jason-gulledge,192402546.6695481,3949596573628994144,True,Male
42, Mike Blandina,https://www.crunchbase.com/person/mike-blandina,186840343.4262219,2879677765931376166,True,Male
43, Kelly L. Loeffler,https://www.crunchbase.com/person/kelly-l-loeffler,186840343.4262219,9072243917172990835,True,Female
44, Adam White,https://www.crunchbase.com/person/adam-white-sf,186840343.4262219,2161943728084183637,True,Male
45, Sebastian Rymarz,https://www.crunchbase.com/person/sebastian-rymarz,183164102.23855132,4372108573120016843,True,Male
46, Adam R. Gerchen,https://www.crunchbase.com/person/adam-r-gerchen,183164102.23855132,7428750284335423210,True,Male
47, Amar Hanspal,https://www.crunchbase.com/person/amar-hanspal,182059956.10653067,6520555015950119540,True,Male
48, Christoph Lengauer,https://www.crunchbase.com/person/christoph-lengauer,176931336.02219674,1324250829921391001,True,Male
49, Niall O'Donnell,https://www.crunchbase.com/person/niall-odonnell,172679424.0238911,4000932057285353983,True,Male
50, Feng Zhang,https://www.crunchbase.com/person/feng-zhang,162291888.85727626,3937965983085106572,True,Male
51, Doug Dohring,https://www.crunchbase.com/person/doug-dohring,160601759.15480646,2641129058827629122,True,Male
52, Alana Ackerson,https://www.crunchbase.com/person/alana-aldag-ackerson,154300500.88541946,8330255665975903168,True,Female
53, Michael Cagney,https://www.crunchbase.com/person/michael-cagney,154300500.88541946,4324967254769242366,True,Male
54, Cynthia Chen,https://www.crunchbase.com/person/cynthia-chen-3,154300500.88541946,9207064913483762106,True,Female
56, June Ou,https://www.crunchbase.com/person/june-ou,154300500.88541946,7967779685993897231,True,Female
57, Jianxiong Xiao,https://www.crunchbase.com/person/jianxiong-xiao,153355154.5659835,199286121867590196,True,Male
58, Thomas Glocer,https://www.crunchbase.com/person/tom-glocer,151564583.07981765,1532939302145783471,True,Male
59, Vikas Sinha,https://www.crunchbase.com/person/vikas-sinha,150653671.33686334,8496300998514582892,True,Male
60, David Hallal,https://www.crunchbase.com/person/david-hallal,150653671.33686334,4153989771032755124,True,Male
61, Nessan Bermingham,https://www.crunchbase.com/person/nessan-bermingham,150500000.0,6675989956728487322,True,Male
62, Frank Fan,https://www.crunchbase.com/person/frank-fan-89f4,150450000.0,864486719183724515,True,Male
63, David DiPiero,https://www.crunchbase.com/person/david-dipiero,145892820.24479482,2752601599624565694,True,Male
64, Lawrence Blatt,https://www.crunchbase.com/person/lawrence-blatt,143200603.54948422,1373504698759114586,True,Male
65, Jacob Bates,https://www.crunchbase.com/person/jacob-bates,142253396.61236137,4938522444180857099,True,Male
66, James Riley,https://www.crunchbase.com/person/james-riley-2,139699200.76266208,8719918997456228289,True,Male
67, Yangbing Zhao,https://www.crunchbase.com/person/yangbing-zhao,139699200.76266208,6147607507007785246,True,Male
69, Carl June,https://www.crunchbase.com/person/carl-june,139699200.76266208,1668496096328928152,True,Male
70, Bruce Blazar,https://www.crunchbase.com/person/bruce-blazar,139699200.76266208,1571073873000084643,True,Male
71, Bruce Levine,https://www.crunchbase.com/person/bruce-levine,139699200.76266208,5463197127508797760,True,Male
72, Gary Glick,https://www.crunchbase.com/person/gary-glick,136813681.96566233,3377080505656453162,True,Male
73, Nathanael Gray,https://www.crunchbase.com/person/nathanael-gray,131363723.85149167,6608943131927415240,True,Male
74, Jim Rosenthal,https://www.crunchbase.com/person/jim-rosenthal,130951168.74865083,7624847091452218730,True,Male
75, Matthew Jacobson,https://www.crunchbase.com/person/matthew-p-jacobson,125317726.65953252,3459230206276946731,True,Male
76, David Hansen,https://www.crunchbase.com/person/david-hansen-6,123000000.0,7924666406333595042,True,Male
77, Adam Rogas,https://www.crunchbase.com/person/adam-rogas,123000000.0,6462790465522028341,True,Male
78, Eric Kay,https://www.crunchbase.com/person/eric-kay-2,123000000.0,6019595927940447659,True,Male
79, Paul Korol,https://www.crunchbase.com/person/paul-korol,123000000.0,220035190797680357,True,Male
80, Phil Vizzaccaro,https://www.crunchbase.com/person/phil-vizzaccaro,123000000.0,2119616872295912415,True,Male
81, Sean Clauretie,https://www.crunchbase.com/person/sean-clauretie,123000000.0,7881589211648556874,True,Male
84, Anthony Philippakis,https://www.crunchbase.com/person/anthony-philippakis,121754931.82137673,4012350399853531928,True,Male
85, Sekar Kathiresan,https://www.crunchbase.com/person/sekar-kathiresan,121754931.82137673,7679017163257953276,True,Male
86, Burt Adelman,https://www.crunchbase.com/person/burt-adelman,121754931.82137673,1583565937741869065,True,Male
87, Barry Ticho,https://www.crunchbase.com/person/barry-ticho,121754931.82137673,3563800958908521977,True,Male
88, Issi Rozen,https://www.crunchbase.com/person/issi-rozen,121754931.82137673,7630287777720573890,True,Male
89, Kiran Musunuru,https://www.crunchbase.com/person/kiran-musunuru,121754931.82137673,7847712969454901483,True,Male
90, Jonathan McIntyre,https://www.crunchbase.com/person/jonathan-mcintyre,119147670.26598328,8796260297594188925,True,Male
91, Steven Jungles,https://www.crunchbase.com/person/steven-jungles,118931351.15965876,8167171418616688873,True,Male
92, Axel Bolte,https://www.crunchbase.com/person/axel-bolte-88d0,118931351.15965876,2458122669597813303,True,Male
93, Eric Yuen,https://www.crunchbase.com/person/eric-yuen,118931351.15965876,1555143222604279044,True,Male
95, Max Hodak,https://www.crunchbase.com/person/max-hodak,112094200.44884512,1611549376542227848,True,Male
96, Elon Musk,https://www.crunchbase.com/person/elon-musk,112094200.44884512,6583137525501482110,True,Male
97, Jonathan Lim,https://www.crunchbase.com/person/jonathan-lim,111740169.54574102,6299636700168744445,True,Male
98, Nickolas Papadopoulos,https://www.crunchbase.com/person/nickolas-papadopoulos,110479358.98036644,8898743284316933359,True,Male
99, Bert Vogelstein,https://www.crunchbase.com/person/bert-vogelstein,110479358.98036644,9173572686640743988,True,Male
100, Kenneth Kinzler,https://www.crunchbase.com/person/kenneth-kinzler,110479358.98036644,8350822532622949720,True,Male
101, Isaac Kinde,https://www.crunchbase.com/person/isaac-kinde,110479358.98036644,2495329553849766607,True,Male
102, Marc Cohen,https://www.crunchbase.com/person/marc-a-cohen,109252494.55503218,7928892759708869587,True,Male
103, Alex Aravanis,https://www.crunchbase.com/person/alex-aravanis,108565061.03429066,8243873219703559202,True,Male
104, Jeff Huber,https://www.crunchbase.com/person/jeffrey-huber,108565061.03429066,123545944069740533,True,Male
108, Lara S. Sullivan,https://www.crunchbase.com/person/lara-s-sullivan,107335432.03724188,9094108237509058459,True,Female
109, Bill Huang,https://www.crunchbase.com/person/bill-huang,105584906.58982034,9053383984971959173,True,Male
110, Robert Zhang,https://www.crunchbase.com/person/robert-zhang-2,105584906.58982034,9036800872555934488,True,Male
111, Christopher Wilfong,https://www.crunchbase.com/person/christopher-wilfong,105260688.074646,4329825598453375425,True,Male
112, Angela Koehler,https://www.crunchbase.com/person/angela-koehler,105260688.074646,1905298683866114094,True,Female
113, Sheila Gujrathi,https://www.crunchbase.com/person/sheila-gujrathi,103768553.2967277,1247640279694844773,True,Female
115, Faheem Hasnain,https://www.crunchbase.com/person/faheem-hasnain,103768553.2967277,4558449339460759705,True,Male
116, Thomas Schuetz,https://www.crunchbase.com/person/thomas-j-schuetz,103279530.98955978,9088552961072692029,True,Male
117, Errik Anderson,https://www.crunchbase.com/person/errik-anderson,103279530.98955978,2122394757412816352,True,Male
118, Benjamin Cravatt,https://www.crunchbase.com/person/benjamin-cravatt,103041091.69606856,8770378266043239597,True,Male
119, Daphne Koller,https://www.crunchbase.com/person/daphne-koller,100649584.42249599,5968828770609994254,True,Female
120, Romesh Subramanian,https://www.crunchbase.com/person/romesh-subramanian,100649584.42249599,3975010901204281671,True,Male
121, Suzanne Ildstad,https://www.crunchbase.com/person/suzanne-ildstad,100649584.42249599,3273869567414282866,True,Female
122, Duke Rohlen,https://www.crunchbase.com/person/duke-rohlen,100621234.64517646,7204845116864138795,True,Male
123, David Berry,https://www.crunchbase.com/person/david-berry,100248274.35680573,1626855547459490628,True,Male
124, Yoav Toussia-Cohen,https://www.crunchbase.com/person/yoav-toussia-cohen,99946375.69653308,1155828524166925154,True,Male
126, Jonathan Webb,https://www.crunchbase.com/person/jonathan-webb,97422707.46450496,7295467996127571380,True,Male
127, Sean Da,https://www.crunchbase.com/person/sean-da,96113000.2615747,4997862332354896218,True,Male
128, Jiajun Zhu,https://www.crunchbase.com/person/jiajun-zhu,95467069.03298949,7218835817289981853,True,Male
129, Dave Ferguson,https://www.crunchbase.com/person/dave-ferguson-3,95467069.03298949,5734725133338402678,True,Male
130, Kenneth Greenberg,https://www.crunchbase.com/person/kenneth-greenberg,95286415.2723078,2405519811116945707,True,Male
131, Aleks Radovic-Moreno,https://www.crunchbase.com/person/aleks-radovic-moreno,94736399.02522393,8860355039689677704,True,Male
132, Braden Thomas,https://www.crunchbase.com/person/braden-thomas,94000000.0,1286798248180206907,True,Male
133, Justin Fisher,https://www.crunchbase.com/person/justin-fisher-2408,94000000.0,9013398092710275762,True,Male
