UID,URL,Name,Score,image,gender
10011463,https://data.fei.org/Person/Performance.aspx?p=73DCB235A066EF2F317F3795AD619CD8,Steve Guerdat,3627,True,Male
10030545,https://data.fei.org/Person/Performance.aspx?p=24163DD2D25AC46504B17D43A2BD3E76,Martin Fuchs,3373,True,Male
10008871,https://data.fei.org/Person/Performance.aspx?p=3EEC6FABD3758FF33E49BF4C4256A3BC,Daniel Deusser,3307,True,Male
10002504,https://data.fei.org/Person/Performance.aspx?p=12E80D7505C462DB1572DFD60AC30D0C,Peder Fredricson,3021,True,Male
10006585,https://data.fei.org/Person/Performance.aspx?p=3C62012BA1EC900F0B4E0E74B8226E61,Pieter Devos,2935,True,Male
10000837,https://data.fei.org/Person/Performance.aspx?p=B78928AE03898322932888C3B315F1D5,Ben Maher,2918,True,Male
10009302,https://data.fei.org/Person/Performance.aspx?p=A98DD364C73FB388ECBA821D0110BE4B,Kent Farrington,2850,True,Male
10017246,https://data.fei.org/Person/Performance.aspx?p=54F57C0AE2FDB4AEFAC2EB791FAA501F,Darragh Kenny,2785,True,Male
10031085,https://data.fei.org/Person/Performance.aspx?p=3476C8EB760BF464C1F79171963C95EA,Scott Brash,2763,True,Male
10000458,https://data.fei.org/Person/Performance.aspx?p=44FE78720C2089951DA83904B2A26803,Elizabeth Madden,2749,True,Female
10031717,https://data.fei.org/Person/Performance.aspx?p=F6ECAC54CF42537BC7A3A29F652290E5,Marlon Modolo Zanotelli,2630,True,Male
10002094,https://data.fei.org/Person/Performance.aspx?p=2ACAD08905B3C24A098B85B17CA19569,Maikel Van Der Vleuten,2625,True,Male
10002267,https://data.fei.org/Person/Performance.aspx?p=DBA1F17E93E3DB4980BE2BCD23D17E8,Mclain Ward,2618,True,Male
10006852,https://data.fei.org/Person/Performance.aspx?p=A8A4881570178CD35E67A7C3003529F,Niels Bruynseels,2609,True,Male
10001850,https://data.fei.org/Person/Performance.aspx?p=BE792468383986B58CBB537BA3C49AF0,Julien Epaillard,2605,True,Male
10000387,https://data.fei.org/Person/Performance.aspx?p=1EBC52DEB37A6F1A7283FB078CE7C6AF,Christian Ahlmann,2560,True,Male
10001601,https://data.fei.org/Person/Performance.aspx?p=D95F481A21CCB2F51717E90D2F65A6A0,Henrik Von Eckermann,2546,True,Male
10011403,https://data.fei.org/Person/Performance.aspx?p=9B2BB0D0AE0002DBA827D93123CCD679,Marcus Ehning,2463,True,Male
10036186,https://data.fei.org/Person/Performance.aspx?p=5AA7437CC9544609989C109AB93FFB95,Jos Verlooy,2460,True,Male
10001566,https://data.fei.org/Person/Performance.aspx?p=3C93AB8B183C357A82A3226E8DE4ADAA,Harrie Smolders,2428,True,Male
10001927,https://data.fei.org/Person/Performance.aspx?p=F772442C92A0D8AD8E0C628E89632726,Kevin Staut,2355,True,Male
10005736,https://data.fei.org/Person/Performance.aspx?p=FC5B727458A35A769E2609D9116BD087,Emanuele Gaudiano,2330,True,Male
10002263,https://data.fei.org/Person/Performance.aspx?p=6472BB54CE30B88617AA9A1F4BECFE2E,Max Kühner,2309,True,Male
10000439,https://data.fei.org/Person/Performance.aspx?p=7D36E9FFBED85672694F569E67DE0E2D,Eric Lamaze,2290,True,Male
10002790,https://data.fei.org/Person/Performance.aspx?p=44EE8F8756FC6835DF84F4E8C82EEABB,Simon Delestre,2270,True,Male
10016473,https://data.fei.org/Person/Performance.aspx?p=4518C11538BA060E7310A8A8FBE9B20E,Penelope Leprevost,2265,True,Female
10001106,https://data.fei.org/Person/Performance.aspx?p=47D1F15F2F2CF84A05E4C00052D2DCD2,Denis Lynch,2260,True,Male
10015757,https://data.fei.org/Person/Performance.aspx?p=46E656F7C71DA68315E5D316E4F546A0,Simone Blum,2196,True,Female
10000456,https://data.fei.org/Person/Performance.aspx?p=9D5D814FFBC9F6A0C710218FF93BEDD8,Margie Goldstein-Engle,2185,True,Female
10055402,https://data.fei.org/Person/Performance.aspx?p=D6F4ACC0B9BF3FD44AED415614D9C303,Daniel Bluman,2180,True,Male
10019433,https://data.fei.org/Person/Performance.aspx?p=DDE8CF0ED1E164A7E14FFD3ABEBAFE7F,Olivier Philippaerts,2179,True,Male
10011499,https://data.fei.org/Person/Performance.aspx?p=B0362631BA691A4B05ECC9C015A9B552,Marc Houtzager,2161,True,Male
10001505,https://data.fei.org/Person/Performance.aspx?p=13D87B6E3D59041473F04707BCCFC6CB,Gregory Wathelet,2110,True,Male
10016165,https://data.fei.org/Person/Performance.aspx?p=9824FBFA47D3590B670BF0EE138B5EDA,Shane Sweetnam,2105,True,Male
10002063,https://data.fei.org/Person/Performance.aspx?p=665DED2D19C57BE66FB57A0C990166F2,Luciana Diniz,2080,True,Female
10001740,https://data.fei.org/Person/Performance.aspx?p=C5CE31409D075E318732C73A4EF47D62,Jérôme Guery,2070,True,Male
