ID,Fie1(11,Field2
1,Male,10001364
2,Male,10008581
3,Male,10008183
4,Male,10017283
5,Female,10006562
6,Male,10109392
7,Male,10000604
8,Male,10016434
9,Male,10008984
10,Female,10000662
11,Male,10023474
12,Male,10025854
13,Male,10017359
14,Male,10095016
15,Female,10000510
16,Male,10035973
17,Female,10016922
18,Male,10002565
19,Male,10010613
20,Female,10078137
,,
ID,Fieldl,Field2
21,Male,10008214
22,Male,10002353
23,Male,10058209
24,Female,10011417
25,Male,10004022
26,Male,10002770
27,Female,10001749
28,Female,10071207
29,Male,10009110
30,Female,10033889
31,Female,10057028
32,Male,10008394
33,Male,10002190
34,Male,10035848
35,Male,10048756
36,Male,10058993
37,Male,10024782
38,Male,10002108
39,Male,10011419
40,Male,10010948
,,
ID,Fieldl,Field2
41,Female,10077490
42,Female,10116981
43,Male,10011432
44,Male,10006828
45,Female,10092750
46,Male,10066041
47,Male,10034774
48,Female,10026633
49,Male,10041302
50,Male,10001800
51,Male,10046881
52,Female,10035615
53,Female,10103749
54,Male,10029177
55,Male,10048073
56,Male,10082635
57,Female,10089197
58,Female,10008899
59,Male,10047663
60,Male,10021782
,,
ID,Fieldl,Field2
61,Female,10018613
62,Female,10001731
63,Female,10106297
64,Male,10016766
65,Male,10016424
66,Male,10014916
67,Male,10006481
68,Male,10062429
69,Female,10141305
70,Male,10069989
71,Male,10014927
72,Male,10058201
73,Male,10009261
74,Male,10000409
75,Male,10114943
76,Male,10018936
77,Male,10059471
78,Female,10046409
79,Male,10003048
80,Female,10090508
,,
ID,Fieldl,Field2
81,Male,10000484
82,Male,10001049
83,Male,10037113
84,Female,10101427
85,Male,10000442
86,Male,10005753
87,Male,10021777
88,Male,10035031
89,Male,10001794
90,Male,10016405
91,Female,10012324
92,Male,10055963
93,Male,10056824
94,Female,10036850
95,Female,10013803
96,Male,10010583
97,Male,10000431
98,Male,10000467
99,Male,10006303
100,Male,10009577
,,
ID,Fieldl,Field2
101,Male,10025019
102,Female,10058479
103,Male,10044765
104,Female,10030566
105,Male,10033730
106,Male,10001621
107,Female,10138499
108,Male,10038007
109,Female,10058423
110,Male,10035405
111,Male,10022524
112,Male,10011456
113,Male,10093182
114,Male,10006994
115,Male,10040943
116,Male,10034342
117,Male,10137468
118,Male,10001614
119,Male,10034268
120,Male,10024693
,,
ID,Fielel,Field2
121,Male,10026715
122,Male,10027138
123,Male,10035861
124,Male,10002656
125,Female,10091629
126,Male,10001463
127,Male,10010487
128,Female,10021119
129,Male,10039799
130,Male,10043267
131,Female,10068294
132,Male,10008667
133,Male,10003079
134,Male,10005803
135,Female,10022345
136,Male,10024584
137,Female,10046674
138,Male,10046006
139,Male,10002535
140,Male,10002396
,,
ID,Fieldl,Field2
141,Female,10023499
142,Male,10062374
143,Female,10002016
144,Male,10004921
145,Male,10000561
146,Male,10018978
147,Female,10093821
148,Male,10041918
149,Male,10093335
150,Male,10010875
151,Female,10000637
152,Male,10002655
153,Male,10000521
154,Male,10001565
155,Male,10008732
156,Female,10030600
157,Male,10021580
158,Male,10013311
159,Male,10081968
160,Female,10024007
,,
ID,Fieldl,Field2
161,Female,10047863
162,Male,10002604
163,Female,10006345
164,Male,10079930
165,Female,10015643
166,Male,10016945
167,Male,10109122
168,Female,10097112
169,Female,10017125
170,Male,10030171
171,Male,10008724
172,Female,10010498
173,Female,10002022
174,Male,10001970
175,Female,10001287
176,Male,10031294
177,Male,10000471
178,Female,10002967
179,Male,10003045
180,Male,10027869
,,
ID,Fieldl,Field2
181,Male,10058367
182,Female,10028445
183,Male,10025820
184,Male,10011415
185,Female,10006732
186,Male,10016397
187,Male,10000498
188,Male,10039055
189,Female,10089798
190,Male,10090809
191,Female,10044594
192,Female,10059474
193,Male,10062680
194,Male,10024331
195,Female,10000995
196,Male,10001670
197,Male,10108949
198,Male,10044984
199,Female,10066947
200,Male,10001771
,,
ID,Field1,Field2
201,Female,10002061
202,Male,10008629
203,Male,10011635
204,Male,10098599
205,Male,10121221
206,Male,10001517
207,Female,10000977
208,Male,10009256
209,Male,10010870
210,Female,10008245
211,Female,10014942
212,Male,10060912
213,Male,10054429
214,Male,10075504
215,Male,10009278
216,Male,10010781
217,Female,10058898
218,Male,10034781
219,Female,10079056
220,Female,10032050
,,
ID,Fieldl,Field2
221,Male,10063281
222,Male,10047365
223,Male,10008977
224,Male,10016696
225,Female,10005471
226,Female,10090691
227,Male,10102242
228,Male,10007980
229,Female,10031509
230,Female,10114761
231,Female,10060666
232,Male,10015483
233,Male,10000809
234,Male,10011434
235,Male,10007591
236,Female,10036936
237,Male,10131392
238,Female,10089264
239,Female,10077676
240,Female,10017515
,,
ID,Field1,Field2
241,Male,10041429
242,Male,10046260
243,Male,10006968
244,Female,10134900
245,Female,10011465
246,Male,10064000
247,Male,10030473
248,Female,10066472
249,Male,10042299
