ID,Fieldl,Field2
1,Female,10025359
2,Male,10151031
3,Male,10036316
4,Female,10035287
5,Female,10004059
6,Male,10039442
7,Male,10041939
8,Male,10042119
9,Male,10059247
10,Male,10068527
11,Male,10037278
12,Male,10002364
13,Male,10007092
14,Male,10013394
15,Male,10012995
16,Male,10018934
17,Male,10071984
18,Female,10073271
19,Male,10110349
20,Female,10103031
,,
ID,Fieldl,Field2
21,Male,10083050
22,Male,10085539
23,Male,10008072
24,Male,10009865
25,Male,10011396
26,Male,10000499
27,Male,10001926
28,Male,10004021
29,Male,10002996
30,Male,10035878
31,Female,10030307
32,Female,10024843
33,Male,10028093
34,Female,10066278
35,Male,10059617
36,Male,10048546
37,Female,10103906
38,Female,10000974
39,Male,10000452
40,Male,10001779
,,
ID,Fieldl,Field2
41,Female,10003472
42,Male,10006383
43,Male,10002219
44,Male,10002520
45,Male,10011195
46,Male,10010490
47,Male,10008875
48,Female,10012013
49,Male,10067960
50,Male,10024049
51,Male,10024137
52,Male,10024033
53,Male,10108595
54,Male,10120359
55,Male,10113263
56,Female,10094596
57,Female,10074435
58,Female,10077662
59,Male,10137739
60,Female,10059639
,,
ID,Fieldl,Field2
61,Female,10045778
62,Female,10033971
63,Female,10024571
64,Male,10011995
65,Male,10009255
66,Male,10005810
67,Female,10000998
68,Female,10150295
69,Female,10080387
70,Male,10072425
71,Female,10084613
72,Male,10091508
73,Male,10072689
74,Female,10082494
75,Male,10119999
76,Male,10121858
77,Male,10097400
78,Female,10096580
79,Male,10097162
80,Female,10000731
,,
ID,Fieldl,Field2
81,Male,10006953
82,Male,10019405
83,Male,10021411
84,Male,10031603
85,Male,10033963
86,Male,10035569
87,Male,10046136
88,Male,10047541
89,Male,10054463
90,Female,10040668
91,Male,10041866
92,Female,10068063
93,Female,10066277
94,Male,10025812
95,Male,10011457
96,Female,10081130
